,Company,Job Title,Job Type,Experience level,Salary,keywords,Facilities,Is Remote,Updated Job Title
496,standard bank group,senior data science analyst- model validation,full time,senior,48.0,"banking,business analytics,classification,credit risk,data analysis,engineering","career development,startup environment",False,data scientist
497,adevinta,machine learning engineer,full time,senior,131.0,"agile,apis,aws,computer science,data governance,data pipelines","career development,flex hours,salary bonus,team events",False,ml engineer
498,shopify,sr. revenue operations specialist - data analytics,full time,senior,69.0,"architecture,business intelligence,data analysis,data analytics,data governance,data management",startup environment,False,devops engineer
499,bosch group,phd position - neuro-symbolic ai for scene understanding in autonomous driving,full time,entry,39.0,"autonomous driving,computer science,engineering,gpu,machine learning,mathematics",conferences,False,ai engineer
500,servicenow,"staff data analyst, product analytics",full time,senior,0.0,"business intelligence,computer science,data analysis,data management,data quality,data visualization","401(k) matching,career development,competitive pay,equity,flex hours",False,data analyst
501,angi,"senior product manager, large language model",full time,senior,135.0,"computer science,data analytics,engineering,llms,machine learning,nlp","401(k) matching,career development,competitive pay,equity,flex hours",False,product manager
502,quintoandar,quintoandar - analytics engineer,full time,none,103.0,"airflow,elt,etl,parquet,pipelines,python",fitness / gym,False,data analyst
503,nbcuniversal,"vp, data products",full time,executive,81.0,"agile,architecture,business intelligence,data strategy,finance,jira",none,False,other
504,atlassian,machine learning engineer,full time,senior,143.0,"computer science,data analysis,engineering,keras,machine learning,ml models","career development,travel",False,ml engineer
505,asana,"data science director, adoption & enterprise",full time,executive,0.0,"causal inference,computer science,data analysis,data management,engineering,genetics","career development,equity,startup environment",False,data scientist
506,geotab inc.,"data platform developer, machine learning",full time,senior,69.0,"airflow,apis,architecture,avro,big data,bigquery","career development,flex hours,health care,medical leave,parental leave",False,ml engineer
507,averna,senior vision engineer (english version),full time,senior,69.0,"architecture,deep learning,engineering,industrial,opencv,python","career development,competitive pay,equity,flex hours,flex vacation",False,other
508,84.51°,lead data scientist (p3436),full time,senior,129.0,"computer science,consulting,data pipelines,economics,engineering,excel",career development,False,data scientist
509,pointclickcare,(canada) business intelligence engineer,full time,none,56.0,"apis,azure,business intelligence,data analysis,data analytics,databricks",none,True,bi analyst
510,charger logistics inc,data engineer,full time,mid,73.0,"agile,airflow,big data,business intelligence,computer science,data analytics","career development,competitive pay",False,data engineer
511,motorway,lead ml platform engineer,full time,mid,51.0,"aws,ci/cd,deep learning,devops,docker,ec2","career development,competitive pay,fitness / gym,gear,health care",False,ml engineer
512,visa,staff data engineer,full time,senior,55.0,"agile,apis,architecture,banking,big data,ci/cd","career development,flex hours,startup environment",False,data engineer
513,charger logistics inc,transportation data analyst (tableau),full time,mid,65.0,"agile,scrum,tableau","career development,competitive pay,insurance",False,data analyst
514,vention,robotics software developer intern fall 2023,internship,entry,0.0,"distributed systems,industrial,javascript,python,robotics",startup environment,False,ai engineer
515,vattenfall,senior data architect,full time,senior,135.0,"architecture,azure,big data,computer science,data governance,data strategy",career development,False,data architect
516,ccri,"software engineer, computer vision program",full time,entry,84.0,"agile,angular,apis,architecture,aws,azure","401(k) matching,career development,flex hours,flex vacation,health care",False,software engineer
517,rvu,data engineer - tempcover,full time,mid,73.0,"agile,apis,architecture,azure,devops,elt","career development,flex hours,salary bonus,startup environment",False,data engineer
518,eurofins,data engineer,full time,senior,115.0,"agile,apis,azure,ci/cd,computer science,data pipelines",none,False,data engineer
519,truveta,ml phd intern - llms & generative ai,internship,entry,0.0,"architecture,big data,computer science,data analysis,deep learning,engineering","career development,competitive pay",False,ml engineer
520,trigo,alternance - « data analyst » ou « equipe business intelligence » (h/f),full time,entry,48.0,"business intelligence,excel,power bi,sql",none,False,bi analyst
521,tradinghub,software engineer - structured data strategies,full time,mid,51.0,"big data,engineering,finance,sql,stem","career development,competitive pay,flex hours,parental leave,salary bonus",False,software engineer
522,chargepoint,data science intern,internship,entry,0.0,"aws,big data,business intelligence,data analysis,data analytics,data pipelines","career development,equity,gear",False,data scientist
523,data science group,data scientist,full time,mid,60.0,"architecture,aws,azure,computer science,data mining,engineering",none,False,data scientist
524,okx,institution data analyst,full time,entry,48.0,"blockchain,crypto,data analysis,engineering,finance,mathematics","career development,competitive pay",False,data analyst
525,databricks,senior solutions engineer - big data,full time,senior,55.0,"architecture,aws,azure,big data,cassandra,consulting","career development,health care,insurance,medical leave,parental leave",False,other
526,motive,machine learning engineer,full time,none,90.0,"architecture,computer science,deep learning,engineering,machine learning,ml models","career development,startup environment",True,ml engineer
527,raft,principal machine learning (ml) engineer,full time,senior,62.0,"data quality,machine learning,mlops,model training,security,statistics","401(k) matching,career development,competitive pay,flex vacation,health care",True,ml engineer
528,xe,product data engineer,full time,mid,73.0,"amplitude,angular,engineering,javascript,react,statistics",team events,False,data engineer
529,cleverconnect,data engineer - stage de fin d'études - paris 2e,full time,entry,59.0,"agile,architecture,aws,bigquery,dataflow,data visualization","career development,yoga",False,data engineer
530,bunq,data engineer,full time,mid,73.0,"aws,banking,etl,nlp,python,sql","career development,equity,flex vacation,health care,insurance",False,data engineer
531,directid,senior data engineer/scientist,full time,mid,73.0,"azure,banking,data analysis,databricks,data mining,engineering","career development,competitive pay,flex hours,health care,team events",True,data engineer
532,vitol,data scientist,full time,senior,129.0,"agile,aws,machine learning,mathematics,ml models,plotly","career development,flex hours",False,data scientist
533,rec room,"principal data scientist, machine learning",full time,senior,129.0,"a/b testing,computer science,databricks,engineering,genetics,machine learning","career development,equity,health care,medical leave,unlimited paid time off",False,ml engineer
534,intelerad,sr director - project implementation - medical imaging / pacs,full time,senior,62.0,"agile,architecture,aws,azure,computer science,consulting","career development,health care",False,other
535,gaming innovation group,big data bi engineer,full time,mid,45.0,"big data,business intelligence,computer science,d3,git,javascript","career development,health care",True,bi analyst
536,mitek systems,"principal data scientist (spain, full-remote)",full time,senior,129.0,"agile,aws,big data,computer science,computer vision,data analysis","career development,competitive pay,flex vacation,home office stipend,insurance",False,data scientist
537,people can fly,ai programmer,full time,senior,62.0,"architecture,engineering,mathematics,oop,vr","401(k) matching,competitive pay,health care,insurance,salary bonus",False,ai engineer
538,evolution,business intelligence data analyst,full time,entry,0.0,"athena,aws,big data,business intelligence,data analysis,data analytics",career development,False,bi analyst
539,bosch group,machine learning for natural language processing intern,internship,entry,0.0,"autonomous driving,big data,circuit design,computer science,deep learning,emnlp",conferences,False,ml engineer
540,divelement,data scientist engineer,full time,mid,60.0,"aws,azure,big data,computer science,data analysis,data mining","career development,competitive pay",False,data scientist
541,truveta,ml postdoc researcher - llms & generative ai,full time,entry,44.0,"architecture,big data,computer science,data analysis,deep learning,engineering","career development,competitive pay",False,ml engineer
542,western digital,"principal engineer, data management engineering",full time,senior,55.0,"data analytics,data management,engineering,excel,industrial,statistics",startup environment,False,data engineer
543,angi,lead data scientist - pricing,full time,none,175.0,"big data,economics,finance,machine learning,mathematics,ml infrastructure","401(k) matching,career development,competitive pay,equity,flex hours",False,data scientist
544,etsy,"data scientist, product analytics",full time,senior,104.0,"causal inference,data governance,e-commerce,engineering,python,r","career development,competitive pay,equity,salary bonus",False,data scientist
545,dropbox,"senior infrastructure software engineer, ml platform",full time,senior,62.0,"aws,computer science,docker,engineering,kubeflow,kubernetes",none,True,ml engineer
546,alumio,alumio solution engineer (data integration),full time,mid,45.0,"apis,data analytics,e-commerce,etl","competitive pay,startup environment,team events",True,other
547,eurofins,senior data engineer,full time,senior,115.0,"agile,apis,azure,ci/cd,computer science,data pipelines",none,False,data engineer
548,bosch group,senior ai research scientist  perception and machine learning,full time,senior,200.0,"3d reconstruction,autonomous driving,big data,circuit design,computer science,computer vision","401(k) matching,career development,conferences,flex hours,flex vacation",False,ml engineer
549,avaloq,data scientist,full time,entry,40.0,"agile,aws,azure,big data,computer science,data visualization",flex hours,False,data scientist
550,eurofins,"field sample specialist (air samples) - eurofins environment testing  pueblo, co",full time,entry,40.0,"chemistry,excel,research,testing","career development,equity,team events",False,other
551,bosch group,senior research scientist  ai-based planning for autonomous systems,full time,senior,170.0,"aws,azure,big data,circuit design,computer science,computer vision","401(k) matching,career development,flex hours,flex vacation,health care",False,ai engineer
552,avery dennison,internship: business intelligence and finance excellence,part time,entry,0.0,"business intelligence,e-commerce,economics,excel,finance","career development,startup environment",False,bi analyst
553,dealfront,"senior data engineer, php",full time,mid,73.0,"data pipelines,elasticsearch,git,kafka,linux,mysql","career development,flex hours,flex vacation,health care,startup environment",True,data engineer
554,visa,head of data science & predictive modeling,full time,executive,102.0,"architecture,ml models,mlops,predictive modeling","equity,flex hours,flex vacation,health care,insurance",False,data scientist
555,standard bank group,business and commercial banking (bcb) business intelligence and analytics graduate programme - gauteng,full time,entry,30.0,"banking,business intelligence,computer science,cx,data governance,data management",startup environment,False,bi analyst
556,ample insight inc.,data scientist - data analytics and infrastructure,full time,none,92.0,"computer science,consulting,consulting firm,data analytics,devops,engineering",competitive pay,False,data analyst
557,brainlab,(senior) machine learning engineer - mlops,full time,senior,131.0,"aws,big data,computer science,computer vision,data analysis,data analytics","career development,flex hours,flex vacation,team events",False,ml engineer
558,auto1 group,team lead data science (f/m/x),full time,senior,62.0,"aws,azure,engineering,gcp,google cloud,machine learning","career development,startup environment,team events",False,data scientist
559,entain,data analyst,full time,mid,65.0,"data analysis,data warehousing,etl,excel,model design,power bi","career development,parental leave,team events",False,data analyst
560,equipmentshare,senior data engineer,full time,senior,115.0,"architecture,business analytics,computer science,data analysis,data warehouse,engineering","401(k) matching,career development,competitive pay,conferences,fitness / gym",False,data engineer
561,course hero,senior data scientist - monetization,full time,senior,129.0,"a/b testing,airflow,amplitude,big data,data analysis,e-commerce","401(k) matching,career development,cell phone stipend,competitive pay,conferences",False,data scientist
562,scale ai,"lead machine learning research engineer, generative ai",full time,senior,176.0,"aws,computer science,deep learning,gcp,generative modeling,llms","career development,equity,health care",True,ml engineer
563,columbia university,"course associate, data analysis and visualization in sustainability (fall 2023)",full time,entry,44.0,"data analysis,data management,python,r,research,statistics",none,False,data analyst
564,vitol,senior data scientist,full time,senior,129.0,"agile,aws,computer science,d3,excel,machine learning","career development,flex hours",False,data scientist
565,"flagship pioneering, inc.",robotics engineer,full time,senior,69.0,"apis,data management,python,robotics",startup environment,False,ai engineer
566,cs group,ingénieur data modeler et/ou tech data - f/h,full time,entry,39.0,"drones,engineering,r,r&d",none,False,other
567,iterative health,biomedical data scientist,full time,senior,129.0,"aws,computer vision,deep learning,docker,engineering,industrial","career development,equity,flex hours,flex vacation,health care",True,data scientist
568,aryng,product analyst - remote (mumbai),full time,mid,40.0,"business intelligence,consulting,cx,data analytics,e-commerce,economics","competitive pay,flex hours,health care,startup environment",True,other
569,definitive logic,databricks administrator,full time,none,63.0,"aws,big data,consulting,consulting firm,databricks,data management","career development,competitive pay,flex hours,flex vacation,gear",False,other
570,publicis groupe,"analyst, data engineering",full time,entry,52.0,"aws,azure,data management,data warehousing,engineering,etl","career development,flex hours,flex vacation,health care,startup environment",False,data engineer
571,cermati.com,lead data engineer- bangalore,full time,none,96.0,"architecture,big data,bigquery,engineering,fintech,hadoop",startup environment,False,data engineer
572,esure group,marketing data scientist,full time,none,56.0,"a/b testing,apis,databricks,data pipelines,git,machine learning","career development,competitive pay,flex hours,flex vacation,health care",False,data scientist
573,esure group,insight analyst,full time,senior,62.0,"a/b testing,data analysis,power bi,prototyping,python,research","career development,competitive pay,flex hours,flex vacation,health care",False,data analyst
574,aviv group,senior data engineer,full time,senior,115.0,"agile,architecture,athena,aws,data governance,dataops","career development,flex hours,flex vacation",False,data engineer
575,delta assurances,data analyst junior f/h,full time,entry,0.0,"big data,excel,mysql",none,False,data analyst
576,etsy,senior applied scientist i,full time,senior,164.0,"computer science,computer vision,deep learning,e-commerce,engineering,gcp","career development,competitive pay,conferences,equity,salary bonus",False,data scientist
577,pa consulting,data manager consultant,full time,senior,77.0,"big data,business intelligence,data analysis,eda,excel,machine learning",none,False,other
578,scale ai,foundation models lead,full time,senior,0.0,"aws,computer vision,deep learning,gcp,machine learning,ml models","career development,conferences,equity,health care",True,other
579,divelement,machine learning engineer,full time,mid,74.0,"aws,big data,computer science,engineering,feature engineering,gcp","career development,competitive pay",False,ml engineer
580,alter solutions,consultant big data & machine learning,full time,senior,0.0,"azure,big data,csv,databricks,devops,engineering",none,False,ml engineer
581,extreme networks,senior machine learning scientist (8304),full time,senior,129.0,"classification,computer science,deep learning,engineering,machine learning,ml models","career development,startup environment",False,ml engineer
582,knorex,data scientist,full time,mid,60.0,"data mining,deep learning,iclr,icml,machine learning,ml models","career development,competitive pay,conferences,health care,salary bonus",False,data scientist
583,varsity tutors,senior product manager (ai team),full time,senior,62.0,"agile,computer science,engineering,genetics,research,sql","401(k) matching,career development,competitive pay,equity,health care",True,ai engineer
584,rec room,principal applied scientist,full time,senior,184.0,"a/b testing,computer science,databricks,engineering,genetics,machine learning","career development,equity,health care,medical leave,unlimited paid time off",False,data scientist
585,yougov,director of data science,full time,executive,141.0,"aws,azure,bayesian,causal inference,data analytics,git","career development,conferences,flex hours",False,data scientist
586,pa consulting,data analyst consultant,full time,senior,92.0,"big data,business intelligence,data analysis,eda,excel,machine learning",none,False,data analyst
587,poshmark,data analyst,full time,senior,92.0,"data analysis,data visualization,e-commerce,eda,engineering,excel","career development,startup environment",False,data analyst
588,people can fly,senior market research analyst,full time,senior,62.0,"consulting,data mining,econometrics,excel,kpis,market research","401(k) matching,career development,competitive pay,fitness / gym,flex hours",False,data analyst
589,"lakeshore learning materials, llc",senior manager of master data management (hybrid),full time,senior,135.0,"data analytics,data governance,data management,data quality,e-commerce,excel","career development,fitness / gym,flex hours,health care,medical leave",False,data engineer
590,auto1 group,"mid data scientist (f/m/x), remote (eu) / berlin",full time,senior,129.0,"data visualization,engineering,machine learning,python,research,sql","career development,flex hours,flex vacation,team events",False,data scientist
591,varsity tutors,sr. product manager (ai team),full time,senior,62.0,"agile,computer science,engineering,genetics,research,sql","401(k) matching,career development,competitive pay,equity,health care",True,ai engineer
592,metro/makro,data analyst (pricing),full time,mid,65.0,"bigquery,data pipelines,data visualization,elt,engineering,etl",none,False,data analyst
593,pa consulting,principal data strategist consultant,full time,senior,62.0,"big data,business intelligence,data analysis,eda,excel,machine learning",none,False,other
594,carsales,senior vehicle data analyst,full time,senior,92.0,"apis,data analysis,finance,r,rdbms,sql","career development,flex hours,flex vacation,insurance,parental leave",False,data analyst
595,grover,machine learning engineer (m/w/x),full time,none,90.0,"computer science,credit risk,docker,engineering,kafka,kubernetes","flex hours,flex vacation,startup environment,team events",False,ml engineer
596,roblox,"principal engineer, datacenter software systems",full time,senior,283.0,"apis,engineering,genetics,golang,kubernetes","equity,flex hours,flex vacation,health care,unlimited paid time off",False,other
597,definitive logic,business intelligence (qlik) developer,full time,mid,56.0,"agile,business intelligence,consulting,consulting firm,databricks,data management","career development,competitive pay,flex hours,flex vacation,health care",False,bi analyst
598,sofi,"staff data scientist, credit card",full time,senior,129.0,"causal inference,computer science,economics,engineering,finance,fintech","career development,competitive pay,health care,insurance,startup environment",False,data scientist
599,databricks,head of product data science,full time,executive,81.0,"big data,cx,databricks,data visualization,engineering,excel","career development,flex vacation,health care,insurance,medical leave",False,data scientist
600,cleverconnect,data engineer / data analyst - stage de fin d'études - paris 2e (h/f),full time,entry,48.0,"agile,architecture,aws,bigquery,dataflow,data visualization","career development,yoga",False,data analyst
601,woodruff sawyer,data scientist,full time,none,72.0,"data analysis,data analytics,eda,excel,finance,python","401(k) matching,career development,flexible spending account,flex vacation,health care",False,data scientist
602,doxee,junior data engineer,full time,entry,59.0,"aws,big data,ci/cd,computer science,data management,devops","career development,team events",False,data engineer
603,scale ai,machine learning research engineer - federal,full time,senior,200.0,"aws,computer science,computer vision,cx,deep learning,engineering","career development,equity,health care",False,ml engineer
604,84.51°,lead data engineer (p3796),full time,senior,115.0,"agile,architecture,big data,business analytics,ci/cd,computer science",none,False,data engineer
605,procore technologies,senior ml engineer,full time,senior,151.0,"aws,classification,docker,elixir,engineering,flink","career development,competitive pay,equity",False,ml engineer
606,pa consulting,senior data strategist,full time,senior,62.0,"big data,business intelligence,data analysis,eda,excel,machine learning",none,False,other
607,numberly,bi engineer & data visualisation,full time,entry,39.0,"business intelligence,elt,etl,git,olap,open source",none,False,bi analyst
608,extreme networks,senior machine learning engineer (8031),full time,senior,131.0,"classification,computer science,deep learning,engineering,machine learning,ml models","career development,startup environment",False,ml engineer
609,roosh,python machine learning engineer (adlight),full time,none,90.0,"api development,apis,architecture,aws,azure,ci/cd","career development,conferences,flex vacation,health care,startup environment",False,ml engineer
610,bosch group,research engineer in text analytics (direct contract with bosch),full time,entry,105.0,"architecture,classification,computer science,deep learning,engineering,machine learning",conferences,False,other
611,delta solutions & strategies,data engineer,full time,mid,73.0,"agile,aws,data analysis,data management,eda,engineering","health care,insurance",False,data engineer
612,procore technologies,senior machine learning engineer,full time,senior,151.0,"aws,classification,docker,elixir,engineering,flink","career development,competitive pay,equity,health care,team events",False,ml engineer
613,sia partners,consultant(e) data scientist / recherche opérationnelle,full time,entry,40.0,"big data,consulting,julia,linux,machine learning,matlab",none,False,data scientist
614,pitchbook data,sr. quantitative research analyst,full time,senior,111.0,"data analysis,dataops,economics,engineering,excel,finance","401(k) matching,career development,equity,flex hours,flex vacation",False,data analyst
615,brightspeed,data analyst,full time,senior,92.0,"cx,excel,mathematics,oracle,power bi,privacy","competitive pay,equity,flex vacation,health care,wellness",False,data analyst
616,pa consulting,senior data manager,full time,senior,77.0,"big data,business intelligence,data analysis,eda,excel,machine learning",none,False,other
617,dropbox,"staff infrastructure software engineer, ml platform",full time,senior,62.0,"aws,computer science,docker,engineering,kubeflow,kubernetes",none,True,ml engineer
618,verisk,data engineer (aws),full time,senior,115.0,"agile,architecture,athena,aws,big data,data governance","career development,equity,insurance,startup environment,team events",False,data engineer
619,veeva systems,data engineer - veeva link,full time,senior,115.0,"agile,aws,ci/cd,data pipelines,devops,engineering","career development,fitness / gym",False,data engineer
620,extreme networks,senior data engineer (8307),full time,senior,115.0,"architecture,aws,azure,big data,computer science,data pipelines","career development,startup environment",False,data engineer
621,enpal b.v.,(mid level) business intelligence analyst scm (f/m/x),full time,mid,51.0,"aws,azure,bigquery,business intelligence,data analysis,data quality","home office stipend,startup environment,team events,yoga",False,bi analyst
622,cleverconnect,data analyst - stage de fin d'études - paris 2e (h/f),full time,entry,48.0,"agile,architecture,aws,bigquery,dataflow,data visualization","career development,yoga",False,data analyst
623,people can fly,senior ai programmer,full time,senior,62.0,"architecture,computer science,engineering,jira,mathematics,physics","career development,competitive pay,fitness / gym,flex hours,flex vacation",False,ai engineer
624,bosch group,ai research scientist  perception and machine learning,full time,senior,150.0,"3d reconstruction,autonomous driving,big data,circuit design,computer science,computer vision","401(k) matching,career development,conferences,flex hours,flex vacation",False,ml engineer
625,publicis groupe,data engineer 2,full time,senior,55.0,"agile,apis,azure,ci/cd,computer science,databricks","career development,competitive pay,flex vacation,health care,startup environment",False,data engineer
626,"flagship pioneering, inc.","scientist/sr. scientist, computational biology",full time,senior,62.0,"biology,data analysis,engineering,genetics,industrial,phd","flex hours,startup environment",False,other
627,pa consulting,data scientist consultant,full time,executive,92.0,"big data,business intelligence,computer science,excel,machine learning,mathematics","health care,insurance,medical leave,salary bonus",False,data scientist
628,publicis groupe,"manager, data engineering",full time,mid,81.0,"apis,avro,aws,azure,computer science,data management","career development,health care,startup environment",False,data engineer
629,kpmg australia,consultant | data analyst | kpmg futures,full time,entry,48.0,"azure,computer science,data analytics,data quality,data visualization,engineering","career development,equity,flex hours,health care,parental leave",False,data analyst
630,visa,data scientist,full time,senior,129.0,"computer science,economics,excel,phd,predictive modeling,python","equity,health care,insurance,salary bonus,wellness",False,data scientist
631,bosch group,research scientist  ai-based planning for autonomous systems,full time,senior,150.0,"aws,azure,big data,circuit design,computer science,computer vision","401(k) matching,career development,flex hours,flex vacation,health care",False,ai engineer
632,publicis groupe,data architect,full time,senior,135.0,"apis,excel,kpis,mysql,python,r",none,False,data architect
633,nets,financial data analyst (m/f/d),full time,senior,92.0,"banking,economics,finance,power bi,statistics","flex hours,gear",False,data analyst
634,nielseniq,"analyst - organizational effectiveness (data management & modelling, m&a)",full time,senior,69.0,"business intelligence,data analysis,data analytics,data management,data visualization,genetics",startup environment,False,data engineer
635,version 1,data architect - talent pipeline,full time,senior,135.0,"architecture,athena,aws,azure,consulting,data analytics","career development,health care",True,data architect
636,pa consulting,senior data analyst,full time,senior,92.0,"big data,business intelligence,data analysis,eda,excel,machine learning",none,False,data analyst
637,experian,data analytics hub manager,full time,senior,69.0,"apis,aws,data analysis,data analytics,data quality,excel","flex hours,flex vacation,medical leave,salary bonus,team events",False,data analyst
638,verisk,senior data analyst,full time,senior,92.0,"big data,data analytics,data governance,data management,data quality,finance","health care,insurance,team events",False,data analyst
639,publicis groupe,"manager, business intelligence",full time,senior,69.0,"architecture,business intelligence,data analysis,data governance,data visualization,etl",none,False,bi analyst
640,adtalem global education,"senior data analyst, marketing & enrollment - hybrid",full time,senior,51.0,"bigquery,business intelligence,data governance,data visualization,engineering,finance","401(k) matching,career development,competitive pay,flex hours,flex vacation",False,data analyst
641,groupe hospitalier paris saint joseph,architecte data - décisionnel et entrepôt données santé - data architect,full time,senior,135.0,"agile,architecture,big data,business intelligence,data warehouse,deep learning",none,False,data architect
642,ewave,"middle product manager (data analysis, fintech)",full time,none,50.0,"agile,data analysis,data governance,data management,data quality,engineering",none,False,product manager
643,publicis groupe,"director, data science",full time,executive,130.0,"architecture,bayesian,big data,data analytics,data management,data mining","career development,health care",False,data scientist
644,palo alto networks,principal machine learning engineer,full time,senior,140.0,"computer science,data analytics,deep learning,engineering,llms,machine learning","career development,health care,medical leave,salary bonus",False,ml engineer
645,cgg,imaging geophysicist - cdi permanent contract,full time,entry,39.0,"data analysis,engineering,excel,hpc,mathematics,phd","career development,conferences,health care,salary bonus",False,other
646,cermati.com,junior business intelligence analyst,full time,entry,35.0,"big data,bigquery,business intelligence,computer science,excel,javascript",none,False,bi analyst
647,publicis groupe,lead data analyst,full time,senior,55.0,"agile,airflow,big data,bigquery,business intelligence,computer science",none,False,data analyst
648,"coenterprise, llc","senior technical integration consultant- mft, migrations, etl experience- us based remote",full time,senior,62.0,"apis,architecture,azure,business analytics,consulting,db2","career development,health care,team events",True,data engineer
649,agoda,"senior data analyst (flights team, bangkok-based, relocation provided)",full time,senior,92.0,"a/b testing,computer science,consulting,data analysis,data visualization,e-commerce","career development,relocation support,startup environment",False,data analyst
650,playstation global,machine learning engineer,full time,senior,131.0,"aws,cuda,docker,git,github,gitlab",career development,False,ml engineer
651,605,"data engineer, operations (adscribe)",full time,mid,73.0,"agile,airflow,aws,databricks,dataops,data pipelines","career development,competitive pay",False,devops engineer
652,agoda,"lead bi analyst (supply analytics, bangkok-based)",full time,senior,48.0,"a/b testing,business intelligence,computer science,consulting,e-commerce,economics","career development,relocation support",False,bi analyst
653,fannie mae,sr. cloud & data engineer (hybrid),full time,senior,115.0,"aws,classification,ec2,ecs,elt,engineering","career development,flex hours,health care,home office stipend",False,data engineer
654,sait,instructor- data analytics,full time,entry,44.0,"cad,classification,data analytics,engineering,phd,python","career development,equity,flex hours,startup environment",False,data analyst
655,octopus energy,data analyst (procurement),full time,senior,92.0,"agile,apis,data analysis,finance,jupyter,machine learning","career development,equity,flex hours",False,data analyst
656,yohana,"technical program manager, artificial intelligence & data",full time,senior,62.0,"agile,big data,computer science,data management,engineering,jira","401(k) matching,career development,competitive pay,equity,flex hours",False,ai engineer
657,coinbase,staff machine learning platform engineer,full time,senior,49.0,"a/b testing,airflow,blockchain,chatbots,computer science,computer vision",none,True,ml engineer
658,cresta,data scientist,full time,senior,129.0,"a/b testing,clustering,data analysis,data visualization,engineering,llms",startup environment,False,data scientist
659,contact energy,junior data and insight analyst,full time,entry,35.0,"agile,computer science,engineering,jupyter,pandas,power bi",career development,False,data analyst
660,amazon.com,business intelligence manager,full time,senior,96.0,"business intelligence,cx,finance,python,sql,statistics","career development,equity,fitness / gym,flex hours,flex vacation",False,bi analyst
661,jupiterone,senior data engineer,full time,senior,120.0,"airflow,angular,athena,aws,big data,computer science","career development,competitive pay,equity,fertility benefits,flex vacation",True,data engineer
662,standard bank group,data enginner,full time,senior,48.0,"banking,business intelligence,data quality,etl,python,sas","career development,startup environment",False,other
663,scale ai,analytics engineer,full time,senior,148.0,"airflow,apis,business intelligence,data pipelines,data quality,data warehouse","career development,equity,health care",False,data analyst
664,homa games,"monetization data analyst, marketing analytics",full time,mid,65.0,"computer science,data analysis,git,python,sql,statistics","career development,flex vacation,health care,team events",False,data analyst
665,roblox,"principal software engineer, applied ml",full time,senior,283.0,"architecture,content creation,deep learning,diffusion models,genetics,llms","career development,conferences,equity,flex hours,flex vacation",False,ml engineer
666,aviso wealth,azure data engineer,full time,mid,56.0,"agile,aws,azure,big data,databricks,data governance","career development,competitive pay,flex hours,flex vacation,health care",False,data engineer
667,amazon.com,"electrical design engineer, data center design engineering",full time,senior,69.0,"aws,engineering,industrial,research","career development,conferences,flex hours,home office stipend,startup environment",False,other
668,palo alto networks,"ai architect, it",full time,senior,204.0,"ai strategy,architecture,classification,computer science,data analytics,data mining","career development,medical leave,salary bonus,startup environment",False,ai engineer
669,bunq,data science intern - large language models,internship,entry,0.0,"engineering,fintech,llms,nlp",career development,False,data scientist
670,talan,data engineer,full time,senior,115.0,"apis,architecture,azure,big data,blockchain,data analysis",none,False,data engineer
671,locus robotics,"deployment specialist -(travel, early career robotics)-central to east coast - us",full time,senior,69.0,"e-commerce,robotics",none,False,ai engineer
672,cruise llc,"staff software engineer, machine learning acceleration",full time,senior,69.0,"architecture,drivers license,engineering,linux,machine learning,python","career development,competitive pay,equity,fertility benefits,flex hours",False,ml engineer
673,nielseniq,senior bi developer,full time,senior,62.0,"agile,azure,business intelligence,ci/cd,data warehouse,devops",startup environment,False,bi analyst
674,atlassian,"senior data engineer, data engineering",full time,senior,115.0,"airflow,apis,bitbucket,computer science,databricks,data governance","career development,startup environment,travel",False,data engineer
675,helloprint,product data specialist,full time,entry,70.0,"business intelligence,csv,e-commerce,etl,excel,python","career development,startup environment",False,other
676,vattenfall,data manager zakelijke markt,full time,none,77.0,"cx,data governance,data management",none,False,other
677,eurofins,business intelligence specialist,full time,none,56.0,"architecture,azure,business intelligence,data quality,devops,excel","career development,competitive pay,equity,flex hours,health care",False,bi analyst
678,sia partners,consultant(e) data science - bureau de lyon,full time,entry,39.0,"big data,consulting,linux,machine learning,matlab,perl",none,False,data scientist
679,publicis groupe,"associate director, data engineering",full time,mid,106.0,"aws,azure,computer science,data management,data pipelines,data visualization","career development,health care,startup environment",False,data engineer
680,sia partners,consultant(e) senior data science,full time,senior,62.0,"azure,big data,ci/cd,consulting,gcp,google cloud",none,False,data scientist
681,sia partners,consultant(e) data science - bureau de marseille,full time,entry,39.0,"agile,architecture,big data,consulting,data management,linux",none,False,data scientist
682,inmarsat,data engineer,full time,entry,59.0,"agile,computer science,data pipelines,gcp,git,google cloud","career development,flex hours",False,data engineer
683,twitch,business intelligence manager,full time,senior,96.0,"business intelligence,cx,finance,privacy,python,sql","career development,equity,fitness / gym,flex hours,flex vacation",False,bi analyst
684,asana,"staff data scientist, business - sales & customer success",full time,senior,202.0,"causal inference,classification,clustering,computer science,data analysis,economics","equity,health care",False,data scientist
685,roosh,copywriter (zibraai),full time,mid,51.0,"computer science,computer vision,content creation,deep learning,engineering,machine learning","career development,flex vacation,startup environment,team events",False,other
686,block,"senior product manager, data infrastructure",full time,senior,142.0,"banking,blockchain,crypto,data pipelines,engineering,machine learning","career development,equity,health care,insurance,parental leave",False,product manager
